crop,state,month,rainfall,temperature,quantity,previous_price,price
Wheat,Haryana,1,12.4,18.2,500,2380,2450
Wheat,Haryana,2,8.2,20.1,450,2450,2480
Wheat,Punjab,1,15.1,17.8,600,2400,2520
Wheat,Uttar Pradesh,2,10.5,21.2,400,2350,2410
Rice,Haryana,8,180.2,29.1,400,3000,3100
Rice,Punjab,8,195.4,28.5,500,3050,3180
Rice,Uttar Pradesh,9,170.2,30.1,450,2950,3070
Maize,Bihar,7,145.2,27.8,600,1900,2050
Maize,Madhya Pradesh,7,130.5,28.4,500,1950,2100
Cotton,Gujarat,10,85.4,31.2,400,6500,6800
Mustard,Rajasthan,2,5.4,22.1,350,5200,5350
Potato,Uttar Pradesh,12,20.5,16.8,500,1800,1950
